Comment,Designator,Footprint,LCSC
"12pf","C1,C2","Capacitor_SMD:C_0402_1005Metric","C1547"
"1uf","C11,C13","Capacitor_SMD:C_0402_1005Metric","C52923"
"10uf","C15,C16","Capacitor_SMD:C_1206_3216Metric","C13585"
"100nf","C3,C4,C5,C6,C7,C8,C9,C10,C12,C14","Capacitor_SMD:C_0402_1005Metric","C1525"
"Conn_01x02_Pin","J1","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"USB_B_Micro","J2","cdog:Test_MICRO-USB-SMD_47346-0001","C132560"
"Conn_01x18_Socket","J3,J5","Connector_PinSocket_2.54mm:PinSocket_1x18_P2.54mm_Vertical",""
"1k","R1","Resistor_SMD:R_0402_1005Metric","C279981"
"27r","R2,R3","Resistor_SMD:R_0402_1005Metric","C2909343"
"RP2040","U1","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","C2040"
"W25Q128JVS","U2","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","C97521"
"NCP1117ST33T3G1","U3","Package_TO_SOT_SMD:SOT-223","C26537"
"XYDBPCNANF-12MHZ","Y1","cdog:Xstal_2520_4P_XYDBPCNANF-12MHZ","C521567"
